first-stage tube temperature (Tt) ,high-temperature fan speed (Sf),temperature (Tf) in the pre-calciner,kiln tail air pressure (Pk),kiln motor current (Ik),kiln tail temperature (Tk),secondary air temperature feedback (Ta),second chamber grate pressure (Pg),EP fan speed (Sa)
0.46994093,0.438388356,0.496229301,0.434046592,0.492864455,0.3266565,0.437133453,0.710378807,0.447691324
0.477099802,0.438297693,0.522179541,0.438117376,0.49765731,0.327277449,0.441786301,0.710047699,0.455006714
0.485813989,0.438184425,0.531140236,0.438443401,0.492022311,0.330180319,0.438034758,0.70887074,0.455282467
0.474661103,0.4383506,0.521856345,0.43487362,0.482226251,0.333666394,0.430892472,0.710047512,0.447374878
0.465655668,0.438244787,0.442298745,0.432067044,0.476591335,0.339142485,0.426813372,0.709900415,0.420136368
0.453473692,0.438245268,0.379753067,0.43602614,0.502320737,0.345962623,0.434823303,0.70953258,0.397708629
0.460039357,0.43833545,0.36795011,0.455981707,0.572125067,0.351261164,0.443047016,0.710048074,0.38599815
0.482034723,0.438335209,0.428343436,0.488316629,0.59301278,0.324767596,0.449256006,0.710489363,0.390376156
0.508567383,0.438245027,0.484818025,0.510528306,0.586082518,0.299376725,0.456807774,0.70964295,0.394826563
0.514699299,0.438184665,0.498059071,0.515364423,0.558507476,0.291821714,0.462786709,0.709569308,0.398067354
0.507378861,0.438365751,0.506673527,0.506945228,0.541764739,0.293723171,0.463261563,0.70890728,0.414194901
0.485763002,0.438222422,0.501709019,0.498463806,0.54953698,0.296068199,0.460771569,0.70993733,0.420851404
0.45837455,0.43833545,0.500169809,0.493114985,0.552322102,0.297158345,0.458461835,0.710305352,0.428340083
0.44546859,0.438425872,0.484649062,0.488830928,0.54480888,0.300935893,0.464408501,0.708686916,0.418636394
0.447448042,0.438184906,0.491562384,0.483856529,0.540793167,0.302976897,0.471763734,0.709900603,0.41928146
0.47145055,0.438478538,0.505849833,0.474636367,0.549245459,0.303407743,0.47092808,0.712070885,0.429076253
0.478672126,0.438312844,0.513807013,0.458137829,0.541780907,0.304333064,0.472173633,0.710415347,0.437406828
0.47759735,0.438252482,0.506462965,0.444231531,0.534445864,0.306614985,0.465866446,0.70993733,0.441200774
0.477711105,0.43835036,0.502868069,0.443178999,0.529814938,0.309200931,0.453531085,0.708723081,0.440885146
0.471245386,0.438297693,0.493778095,0.447338071,0.527013648,0.313333493,0.454923518,0.70953258,0.437256318
0.495326545,0.438395571,0.486226686,0.451961448,0.530624581,0.314170168,0.462016427,0.708502718,0.438574133
0.506249815,0.4383506,0.45399864,0.463298908,0.552613458,0.321357613,0.466456188,0.710268438,0.426779872
0.52832066,0.438312604,0.436401089,0.471804794,0.558896088,0.324906969,0.474925257,0.709238387,0.414972598
0.516901979,0.438448478,0.449948046,0.471065522,0.545877625,0.324906883,0.480298731,0.709753506,0.408119235
0.509092501,0.4383506,0.486077559,0.462045867,0.537587097,0.322333662,0.481477661,0.70953258,0.407979304
0.49184809,0.438282543,0.50140629,0.451071662,0.531126452,0.3208505,0.48899702,0.711040647,0.414565845
0.50443512,0.438305148,0.484546025,0.44108723,0.518966219,0.322967596,0.493943905,0.710489176,0.411279496
0.493804206,0.43817721,0.469844497,0.430426285,0.511226314,0.327860654,0.50234774,0.709238575,0.409292232
0.501202254,0.438297453,0.453485357,0.421005615,0.502142558,0.329584474,0.508081459,0.709385484,0.401607533
0.500822741,0.438433087,0.453466796,0.402238202,0.507032586,0.325363354,0.504755532,0.709753131,0.399524267
0.501622179,0.438192361,0.439976142,0.389071708,0.529685511,0.327746385,0.491667136,0.711224659,0.399436409
0.496566114,0.438259697,0.438817731,0.390374742,0.547561501,0.321040603,0.480478575,0.708723269,0.400102624
0.507046072,0.438402785,0.443532639,0.397415381,0.55760066,0.319025137,0.476104881,0.709826961,0.401649005
0.517593008,0.438380661,0.46038395,0.402726973,0.555754773,0.31673075,0.488505475,0.709679864,0.406312534
0.523564389,0.438290238,0.472213147,0.406121775,0.557794925,0.312116526,0.502527723,0.709495853,0.411567455
0.515547615,0.438244787,0.504469353,0.407875819,0.553520109,0.306691078,0.507982844,0.71026825,0.423752996
0.508843767,0.438305148,0.523204835,0.410369666,0.546266155,0.303458558,0.513191775,0.71096738,0.424944708
0.500233793,0.438259937,0.535418669,0.410895666,0.543950651,0.303255644,0.517189369,0.709201848,0.418833224
0.510183265,0.438207031,0.51735135,0.412073184,0.532454382,0.306133236,0.520432537,0.709348757,0.421479393
0.498161818,0.43817721,0.49499472,0.413288994,0.521686503,0.307071282,0.519285876,0.710636273,0.427253291
0.501392567,0.438169274,0.49748625,0.419539303,0.509331758,0.309479851,0.518810883,0.710121529,0.435190977
0.498814586,0.43817721,0.527266925,0.432493056,0.502774104,0.311939063,0.507671838,0.710047512,0.444582305
0.517858839,0.43816206,0.564668768,0.444444271,0.489026756,0.311533407,0.504329638,0.709532768,0.458502952
0.526042497,0.438433087,0.560407628,0.449343147,0.478631569,0.318112368,0.515420279,0.710930653,0.467141845
0.553559562,0.438327754,0.535837228,0.448804383,0.460285796,0.325642274,0.515846035,0.709826961,0.47436124
